main_id,ra,dec,plx_value
"""UCAC4 214-186881""",309.8488581223366,-47.356034988522225,1.7969
"""UCAC4 215-190528""",309.87257415301076,-47.096969688257225,1.6281
"""UCAC4 217-187400""",309.89752118637875,-46.632952404375274,1.1294
"""UCAC4 215-190534""",309.90367920238,-47.12691368930944,0.3577
"""UCAC4 212-183636""",309.9284288596983,-47.602407315902504,2.9273
"""UCAC4 213-199127""",309.96561746776206,-47.48784093257195,1.8662
"""UCAC4 213-198921""",308.8285995371995,-47.56860721665028,0.8335
"""UCAC4 215-190408""",309.2030318715463,-47.192646908935,1.1343
"""UCAC4 219-182905""",309.2063476451979,-46.36389316279916,0.4105
"""UCAC4 219-182907""",309.2275653643375,-46.39900314962944,1.4645
"""UCAC4 213-199022""",309.33973308624167,-47.478424847145554,0.886
"""UCAC4 215-190462""",309.4606414098388,-47.11762424676278,2.3641
"""2MASS J20422235-4722098""",310.5931789702912,-47.369381189250554,3.6944
"""SIPS J2032-4651""",308.1968710399342,-46.85304968080139,8.0727
"""Gaia DR3 6482349987590567296""",310.56556348937,-46.83484081823,0.64
"""Gaia DR3 6674557745545643136""",309.53393202631,-46.53826091709001,0.7163
"""Gaia DR3 6482325562111355520""",309.90891600217617,-47.27195051383333,2.4887
"""Gaia DR3 6674360829883948160""",308.41348686433,-47.60604930768,0.7502
"""* alf Ind""",309.3918000320833,-47.2915007225,33.17
"""Gaia DR3 6674760468001787776""",308.85746238338,-46.36949134088,0.6439
"""Gaia DR2 6674506244591633792""",309.42712088622335,-46.83366248067555,2.3378
"""CRTS J203342.9-475103""",308.42859952107,-47.85128315915,0.0152
"""HD 195867""",308.94085299999995,-47.776138,3.14
"""UCAC4 212-183275""",308.14150020867623,-47.726382473105005,30.1642
"""UCAC4 212-183274""",308.14047575768916,-47.72726971953223,31.8968
"""UCAC2  11670788""",310.72071325693,-47.45213256473,2.015
"""HD 196842""",310.45193212582,-47.91267375806,1.3217
"""Gaia DR3 6482120193955128320""",309.26590217876,-48.254714362170006,0.1405
"""UCAC2  11219351""",309.96760004936,-48.1973996639,2.2759
"""UCAC2  11219347""",309.95384897404,-48.19183977306,2.5678
"""Gaia DR3 6482143592935844480""",309.58856411254,-48.15365271914,3.2701
"""UCAC2  11219393""",310.06755040207,-48.08372476118,3.5455
"""Gaia DR3 6482139534192976640""",309.98848702989,-48.0161475056,2.575
"""Gaia DR3 6482143038886152448""",309.70313811317,-48.15202760568,1.6117
"""UCAC2  11219330""",309.91569899655,-48.19313619897,1.1426
"""TYC 8411-1503-1""",309.59814721986,-48.09268972089001,1.7545
"""TYC 8411-381-1""",309.89065685999,-48.00017919617001,3.6063
"""HD 196498""",309.93894231713,-47.99488875482,1.6746
"""TYC 8411-1098-1""",309.87355740592994,-47.834007739380006,2.8856
"""Gaia DR3 6482183205419369984""",308.72122420485,-48.04324513943,1.5215
"""Gaia DR3 6482168641185368960""",309.27286000048,-48.21478822065,0.0894
"""UCAC4 210-184951""",308.98396043768,-48.16009969508,1.9727
"""TYC 8410-89-1""",309.19125278952,-47.95270637241,0.4864
"""Gaia DR3 6482187539042372224""",309.07025666312,-47.92938901436,0.233
"""TYC 8410-635-1""",309.00724355248,-47.80851964435,4.926
"""UCAC4 211-187209""",309.45847113294,-47.81659150012,0.3575
"""TYC 8410-549-1""",309.27680671866,-47.97453128302,0.9522
"""Gaia DR3 6482195957178217856""",309.5524659253,-47.92706765821,0.5582
"""TYC 8411-988-1""",309.55635650886,-47.82809393688,3.7786
"""TYC 8410-437-1""",309.29914491664994,-47.82754609974,2.4872
"""UCAC2  11445909""",309.33996513426,-47.783148518109996,0.1801
"""TYC 8410-281-1""",309.1302783467,-47.84206153115,3.1928
"""UCAC2  11445968""",309.55595864915,-47.55542348455,4.0945
"""CRTS J203653.4-474047""",309.22280282945997,-47.67969552604,0.0015
"""TYC 8410-553-1""",309.25655586438,-47.77056516456,0.562
"""Gaia DR3 6482226739208516096""",309.51529377486,-47.44804587318,0.5314
"""HD 196257""",309.5002338497599,-47.57060534756,0.9041
"""UCAC2  11445916""",309.37478406958996,-47.51909050868999,2.7344
"""CD-48 13644""",310.26482886108,-47.99497490046,0.824
"""Gaia DR3 6482227911735044992""",309.46150208768,-47.38458630033999,0.49
"""TYC 8411-1253-1""",309.99080681407,-47.871317527189994,2.3965
"""CD-48 13643""",310.250811359,-47.83287228699001,1.3294
"""Gaia DR3 6482236359934327552""",310.24222051012,-47.8044699188,1.2176
"""Gaia DR3 6482241101578343680""",310.51371139783,-47.67230550949,1.1279
"""UCAC2  11446081""",309.97435336462,-47.71342112315,1.3301
"""TYC 8411-878-1""",310.08549290491,-47.73626130868,1.1185
"""TYC 8411-727-1""",310.1113081257299,-47.51358720375999,3.0901
"""Gaia DR3 6482254265654428544""",310.06472261147997,-47.57778731005,0.6646
"""Gaia DR3 6482257972210025600""",310.28007530623,-47.55513631011,0.9615
"""UCAC2  11446078""",309.96530900379,-47.62734922564,0.2148
"""HD 196936""",310.5850843963099,-47.691564519319996,2.3275
"""TYC 8411-939-1""",310.7980482424,-47.53514121625,2.454
"""TYC 8411-634-1""",310.71555592313,-47.33170426916,0.8266
"""Gaia DR3 6482267386778419456""",310.72377937261,-47.4932623962,1.0563
"""HD 197096""",310.8122794971599,-47.28706896388,1.8099
"""CD-47 13502""",310.3216920954599,-47.41453057299,3.1349
"""CD-47 13509""",310.51779661563,-47.24234658121,1.4706
"""UCAC4 214-186986""",310.43788687714,-47.37820927035,0.442
"""HD 197015""",310.6914923325899,-47.22353803925,1.294
"""HD 197001""",310.66448212828,-47.18390736277,0.9929
"""CD-47 13510""",310.56037711073,-47.15647610877999,1.5046
"""TYC 8411-968-1""",309.86333639895,-47.70685092261,2.2084
"""Gaia DR3 6482298791579060608""",309.84756520947997,-47.68361304956,1.9504
"""Gaia DR3 6482300234688182656""",309.85755973248,-47.58830204308,2.8633
"""Gaia DR3 6482298585420614912""",309.85848595959,-47.69605807151,1.109
"""TYC 8411-1077-1""",309.76828807502,-47.52826065841,0.4084
"""Gaia DR3 6482304838893278208""",309.76366219905,-47.47322744543,1.4358
"""UCAC2  11670635""",310.07261656531,-47.48163414351,2.6766
"""TYC 8411-510-1""",310.02936585113,-47.25166708549,0.5535
"""HD 196516""",309.9421843673,-47.41665259369001,1.16
"""Gaia DR3 6482312466755640832""",309.99441416161,-47.346766617849994,0.0025
"""Gaia DR3 6482319407422780416""",309.74980094781,-47.35427977864,0.5931
"""UCAC2  11670609""",309.96070150723,-47.223155222399996,2.3207
"""TYC 8411-1047-1""",309.85212171864,-47.31128927701,1.9835
"""UCAC2  11670621""",309.99779047595996,-47.16577391433001,0.7965
"""TYC 8411-646-1""",310.28016295627,-47.31939356621001,1.3863
"""TYC 8411-629-1""",310.18622499257,-47.11750843875,2.0955
"""CRTS J204036.9-470856""",310.15460910696993,-47.14868294742,0.0486
"""Gaia DR3 6482340641741505792""",310.2951575997499,-47.07908071287,1.027
"""TYC 8411-524-1""",310.26274646912,-47.0436474903,1.6515
"""TYC 8411-425-1""",310.3412559920599,-47.012625412800006,3.7247
"""Gaia DR3 6482342054786493056""",310.27281845087,-47.02247191202,0.3163
"""Gaia DR3 6482342943843952000""",310.52726805991,-47.09527715897,1.1204
"""Gaia DR2 6482348686215393152""",310.39773737334,-46.9191900831,2.2268
"""CD-47 13507""",310.4737111794,-47.05442231353,2.8859
"""CRTS J204027.1-470302""",310.11335502712,-47.050435333150006,0.1083
